14.77083,47.80444,"Gasthof Staudach - Campingplatz; 3343 Hollenstein/Ybbs"
14.77361,47.76833,"Stellplatz Wentsteinhammer; 3343 Hollenstein/Ybbs"
16.53417,47.59194,"Weingut und Heurigen Duschanek; 7312 Horitschon"
15.41750,48.18361,"Schnitzlwirt Landhaus Summer; 3383 Hürm"
13.28944,47.14778,"Naturcamping Stockham; 5612 Hüttschlag"
10.49833,47.31528,"Rafting-Center Rudi; 6651 Häselgehr"
15.66167,48.31528,"Pension Wetzmannsthalerhof; 3131 Inzersdorf-Getzersdorf"
14.09500,47.50972,"Ferienanlage 'Im Dörfl anno 1873'; 8952 Irdning"
12.84417,46.83806,"Iselsbergerhof; 9991 Iselsberg"
15.73778,46.85278,"Stellplatz Kindergarten-Vorplatz; 8091 Jagerberg"
11.77500,47.40139,"Gasthof Rieder; 6200 Jenbach"
10.74556,47.14306,"Mountain Camp; 6474 Jerzens"
16.78972,47.95944,"Bioweingut Edelhof; 7093 Jois"
14.65306,47.16417,"Stellplatz am Erlebnisbad; 8750 Judenburg"
15.85389,47.22417,"Buschenschank Schleiß; 8224 Kaindorf"
15.40361,48.88417,"Landgasthaus Pohnitzer; 3822 Karlstein an der Thaya"
15.79806,48.14806,"Gwörthwirt; 3072 Kasten bei Böheimkirchen"
14.53917,48.44861,"Schlossbrauerei Weinberg; 4292 Kefermarkt"
15.23361,48.40028,"Camping-Bauernhof; 3631 Kirchschlag"
16.29861,48.33583,"Bahnhof Kritzendorf; 3420 Klosterneuburg"
11.90667,47.46111,"Camping Seeblick Toni; 6233 Kramsach"
11.90694,47.46167,"Camping Seehof; 6233 Kramsach"
11.88167,47.45667,"Seencamping Stadlerhof; 6233 Kramsach"
14.13917,48.06167,"Aktivpark Stadlhuber; 4550 Kremsmünster"
12.17500,47.21833,"Hotel Krimmlerfälle; 5743 Krimml"
14.83889,48.40417,"Stellplatz am Freibad; 4280 Königswiesen"
12.96722,46.71806,"Caravan & Reisemobilplatz Gailberghöhe; 9640 Kötschach-Mauthen"
15.12639,48.31667,"Wagmühle – Ferienhof Stoiber; 3663 Laimbach am Ostrong"
14.76278,47.65194,"Mooswirt Camping am See; 8921 Landl"
15.65500,48.47667,"Nastl Heuriger; 3550 Langenlois"
15.65194,48.47639,"Heuriger Baumgartner Höhe; 3550 Langenlois"
14.83583,48.57972,"Freizeitanlage Frauenwieserteich; 3921 Langschlag"
13.02694,47.29722,"Biohof Lainer; 5651 Lend-Embach"
11.16639,47.36389,"Wintercamping Kreith; 6105 Leutasch"
15.45861,46.63889,"Buschenschank Krampl; 8463 Leutschach"
15.47083,46.65139,"Ölpresse Resch; 8463 Leutschach"
15.47083,46.68417,"Weinbau Peter Grill; 8463 Leutschach"
12.81250,46.69306,"Panorama Camping Lesachtal; 9653 Liesing im Lesachtal"
12.79583,46.68806,"Gasthof Lahnerhof; 9653 Liesing im Lesachtal"
14.23361,47.56500,"Sportzentrum Friedau; 8940 Liezen"
15.39917,48.20194,"Gasthaus Hofmann; 3382 Loosdorf"
14.57944,46.91778,"Landgasthof Neugebauer; 9335 Lölling"
13.17278,46.98139,"Alpencamping Haus Obernig; 9822 Mallnitz"
12.90278,47.39833,"Wohnmobilstellplatz Stegerbauer; 5761 Maria Alm"
15.35944,48.32083,"Haberghütte Zum Gießhübler; 3643 Maria Laach"
15.03944,47.05028,"Gasthof Grabenmühle; 8591 Maria Lankowitz"
12.49778,47.11833,"Parkplatz Matreier Tauernhaus; 9971 Matrei in Osttirol"
16.13972,48.25861,"Restaurant Hirschengarten; 3001 Mauerbach"
11.75250,47.42472,"Talstation der Rofan-Seilbahn; 6212 Maurach am Achensee"
15.30694,47.83222,"Hof Sepplbauer; 3224 Mitterbach"
13.31111,47.88167,"Hof Friedlbauern; 5310 Mondsee"
15.74639,46.73750,"Ölmühle Sixt; 8480 Mureck"
16.29278,48.08889,"Stellplatz Mödling; 2340 Mödling"
16.69583,47.75472,"Parkplatz Seefestspiele; 7072 Mörbisch am See"
12.91028,46.92306,"Gasthaus Schwaiger; 9842 Mörtschach"
12.91111,46.90889,"Camping Lindlerhof; 9842 Mörtschach"
14.60694,48.22556,"Gasthof Zur Post; 4331 Naarn im Machlande"
14.61861,48.21861,"Most- und Jausenstation Gassner; 4331 Naarn im Machlande"
10.81500,47.34278,"Romantikcamping Fernsteinsee; 6465 Nassereith"
12.24139,47.23889,"Panoramastellplatz Friedburg; 5741 Neukirchen"
13.52472,47.85889,"Bauernhof-Camping Bruckbacher; 4865 Nußdorf/Attersee"
16.21972,47.33667,"Thermencamp Burgenland; 7432 Oberschützen"
10.94444,47.30778,"Gasthaus zum Lenz; 6416 Obsteig"
16.62444,47.84111,"Cselley-Mühle; 7064 Oslip"
15.22750,48.42389,"Wohnmobil-Stellplatz Ottenschlag; 3631 Ottenschlag"
14.16361,48.33500,"Camping Hofmühle; 4100 Ottensheim"
13.89333,48.61861,"Gasthof Zur Post; 4153 Peilstein"
